LGA,LGA_CODE,region,age,weekly_income,num_non_english,prop_non_english,area,pop,pop_density,active,tot_cases,case_rate,First,Second ,log_active,normalised_weekly_income,sqrt_pop_density
Alpine,LGA20110,Regional,49,562,119,928.6717653,"1,849",12814,6.930232558,0,1,0,0.899,0.657,0,-0.487986045,2.632533487
Ararat,LGA20260,Regional,46,556,78,658.5056986,"1,626",11845,7.284747847,7,15,59.09666526,0.859,0.59,1.771562975,-0.536733228,2.699027204
Ballarat,LGA20570,Regional,38,590,710,648.3722204,285,109505,384.2280702,36,114,32.87521118,0.884,0.574,1.516868551,-0.260499189,19.60173641
Banyule,LGA20660,Metro,39,728,3689,2802.531319,63,131631,2089.380952,243,857,184.6069695,0.866,0.599,2.266248093,0.860686029,45.7097468
Bass Coast,LGA20740,Regional,50,507,210,578.1938326,"1,555",36320,23.35691318,9,22,24.77973568,0.939,0.64,1.39409667,-0.934835226,4.832899045
Baw Baw,LGA20830,Regional,42,585,241,451.34467,37,53396,1443.135135,34,52,63.67518166,0.85,0.557,1.803970193,-0.301121842,37.98861849
Bayside,LGA20910,Metro,44,897,1710,1600.194644,908,106862,117.6894273,97,401,90.7712751,0.912,0.681,1.957948436,2.233731695,10.84847581
Benalla,LGA21010,Regional,49,537,50,356.2014676,60,14037,233.95,4,7,28.4961174,0.903,0.651,1.454785691,-0.691099309,15.29542415
Boroondara,LGA21110,Metro,38,869,6791,3706.897963,123,183199,1489.422764,113,452,61.6815594,0.857,0.628,1.790155345,2.006244839,38.59304036
Brimbank,LGA21180,Metro,35,487,25990,12404.36611,"3,089",209523,67.82874717,977,3479,466.2972561,0.783,0.437,2.66866286,-1.097325837,8.235820977
Buloke,LGA21270,Regional,51,473,17,277.5963423,"1,745",6124,3.509455587,0,0,0,0.95,0.703,0,-1.211069265,1.873354101
Campaspe,LGA21370,Regional,45,561,128,340.2264632,1283,37622,29.32346064,5,16,13.29009622,0.925,0.602,1.123528125,-0.496110575,5.415114093
Cardinia,LGA21450,Metro,34,680,1195,1065.451725,409,112159,274.2273839,245,552,218.4398934,0.847,0.489,2.339331956,0.470708562,16.55981231
Casey,LGA21610,Metro,34,640,16303,4607.033051,592,353872,597.7567568,870,2163,245.8516074,0.834,0.465,2.390673052,0.145727339,24.44906454
Central Goldfields,LGA21670,Regional,50,452,40,303.35204,"1,327",13186,9.936699322,0,2,0,0.87,0.627,0,-1.381684407,3.152253055
Colac Otway,LGA21750,Regional,45,574,143,663.1422742,"1,702",21564,12.66980024,11,150,51.01094417,0.874,0.578,1.707663362,-0.390491678,3.559466285
Corangamite,LGA21830,Regional,46,542,23,143.5705368,54,16020,296.6666667,3,9,18.72659176,0.923,0.62,1.272458743,-0.650476656,17.22401424
Darebin,LGA21890,Metro,36,650,10768,6558.495347,"8,085",164184,20.30723562,481,1530,292.9639916,0.735,0.466,2.466814244,0.226972645,4.506355026
East Gippsland,LGA22110,Regional,50,506,198,418.4630992,130,47316,363.9692308,2,11,4.226899992,0.89,0.635,0.626021973,-0.942959756,19.07797764
Frankston,LGA22170,Metro,38,660,1822,1277.314695,"1,442",142643,98.92024965,138,415,96.74502079,0.809,0.505,1.985628622,0.308217951,9.945865958
Gannawarra,LGA22250,Regional,49,498,26,248.2811306,39,10472,268.5128205,6,9,57.29564553,0.912,0.624,1.758121617,-1.007956001,16.38636081
Glen Eira,LGA22310,Metro,37,780,5815,3715.393806,"2,401",156511,65.18575594,135,449,86.25591811,0.835,0.578,1.935788902,1.283161618,8.073769624
Glenelg,LGA22410,Regional,47,536,42,213.4797194,"1,044",19674,18.84482759,0,19,0,0.887,0.593,0,-0.699223839,4.341062956
Golden Plains,LGA22490,Regional,39,628,61,257.145266,"1,158",23722,20.48531952,3,22,12.64648849,0.89,0.552,1.101969953,0.048232973,4.526071091
Greater Bendigo,LGA22620,Regional,39,604,1071,906.9123487,130,118093,908.4076923,12,116,10.1614829,0.879,0.602,1.006957091,-0.146755761,30.13980246
Greater Dandenong,LGA22670,Metro,35,475,25547,15188.37581,482,168201,348.9647303,483,1135,287.1564378,0.787,0.407,2.458118557,-1.194820204,18.6805977
Greater Geelong,LGA22750,Regional,40,600,3898,1505.402921,935,258934,276.9347594,87,506,33.59929557,0.906,0.614,1.526330172,-0.179253883,16.6413569
Greater Shepparton,LGA22830,Regional,39,588,2081,3129.417426,569,66498,116.8681898,90,287,135.3424163,0.889,0.521,2.131433926,-0.27674825,10.81055918
Hepburn,LGA22910,Regional,50,532,65,406.885759,"2,905",15975,5.499139415,0,5,0,0.887,0.637,0,-0.731721962,2.345024395
Hindmarsh,LGA22980,Regional,50,497,103,1843.235505,64,5588,87.3125,0,0,0,0.886,0.595,0,-1.016080531,9.344115796
Hobsons Bay,LGA23110,Metro,38,704,4332,4431.668218,"1,647",97751,59.35094111,276,1336,282.3500527,0.815,0.539,2.450787873,0.665697296,7.703956198
Horsham,LGA23190,Regional,42,617,97,486.9233472,504,19921,39.52579365,1,15,5.019828322,0.887,0.594,0.700688865,-0.041136864,6.286954243
Hume,LGA23270,Metro,33,529,15974,6841.963242,788,233471,296.2829949,3246,8711,1390.322567,0.807,0.401,3.143115572,-0.756095553,17.21287294
Indigo,LGA23350,Regional,46,641,27,161.666966,91,16701,183.5274725,1,3,5.987665409,0.928,0.62,0.777257524,0.15385187,13.54723118
Kingston,LGA23430,Metro,40,704,6488,3913.573247,114,165782,1454.22807,157,510,94.70268184,0.839,0.553,1.976362278,0.665697296,38.1343424
Knox,LGA23670,Metro,39,664,5941,3610.716066,551,164538,298.6170599,193,414,117.2981317,0.85,0.538,2.069291095,0.340716073,17.28053992
Latrobe,LGA23810,Regional,41,544,681,901.2585858,"2,585",75561,29.23056093,91,148,120.4324982,0.793,0.489,2.080743695,-0.634227595,5.406529472
Loddon,LGA23940,Regional,51,467,21,279.8507463,675,7504,11.11703704,0,5,0,0.871,0.607,0,-1.259816448,3.334222104
Macedon Ranges,LGA24130,Regional,42,702,236,469.8293882,113,50231,444.5221239,38,113,75.65049471,0.948,0.673,1.878811772,0.649448234,21.08369332
Manningham,LGA24210,Metro,43,629,8785,6886.253361,"1,484",127573,85.96563342,180,426,141.0956864,0.864,0.571,2.149513737,0.056357503,9.271765389
Mansfield,LGA24250,Regional,48,580,37,403.2258065,31,9176,296,0,10,0,0.899,0.595,0,-0.341744495,17.20465053
Maribyrnong,LGA24330,Metro,33,703,7570,8100.761921,61,93448,1531.934426,260,966,278.2296036,0.763,0.494,2.444403337,0.657572765,39.13993391
Maroondah,LGA24410,Metro,38,696,4073,3435.449316,37,118558,3204.27027,150,295,126.5203529,0.848,0.551,2.102160395,0.600701051,56.60627412
Melbourne,LGA24600,Metro,28,642,9320,5208.013188,528,178955,338.9299242,367,1517,205.0794893,0.683,0.384,2.311922227,0.161976401,18.41004954
Melton,LGA24650,Metro,33,658,5339,3237.818005,"8,526",164895,19.34025334,842,2422,510.6279754,0.817,0.441,2.708104604,0.29196889,4.397755489
Mildura,LGA24780,Regional,40,555,1143,2049.231762,"1,105",55777,50.47692308,9,26,16.13568317,0.837,0.492,1.207787358,-0.544857759,7.10471133
Mitchell,LGA24850,Regional,37,648,377,818.106853,"1,562",46082,29.50192061,136,273,295.1260796,0.85,0.504,2.470007589,0.210723584,5.43156705
Moira,LGA24900,Regional,47,524,193,644.9456976,82,29925,364.9390244,2,11,6.683375104,0.912,0.584,0.824995837,-0.796718206,19.1033773
Monash,LGA24970,Metro,37,569,15252,7518.967498,43,202847,4717.372093,228,646,112.3999862,0.807,0.508,2.050766258,-0.431114331,68.68312815
Moonee Valley,LGA25060,Metro,38,744,5464,4193.592951,815,130294,159.8699387,449,1531,344.6052773,0.815,0.55,2.537321924,0.990678518,12.64396847
Moorabool,LGA25150,Regional,40,635,156,445.0911581,51,35049,687.2352941,35,106,99.86019573,0.89,0.539,1.999392413,0.105104687,26.21517298
Moreland,LGA25250,Metro,34,680,10334,5562.882536,724,185767,256.5842541,943,3222,507.6251433,0.752,0.471,2.705543125,0.470708562,16.01824754
Mornington Peninsula,LGA25340,Metro,46,630,863,514.8058889,591,167636,283.6480541,86,300,51.30162972,0.886,0.626,1.710131162,0.064482034,16.84185424
Mount Alexander,LGA25430,Regional,49,550,93,470.7907259,"2,117",19754,9.331128956,17,28,86.05851979,0.9,0.659,1.934793872,-0.585480411,3.054689666
Moyne,LGA25490,Regional,43,620,41,241.8451012,"1,498",16953,11.31708945,6,8,35.39196602,0.918,0.625,1.548904688,-0.016763272,3.364088205
Murrindindi,LGA25620,Regional,48,553,47,322.5806452,432,14570,33.72685185,6,18,41.18050789,0.847,0.559,1.614691699,-0.56110682,5.807482402
Nillumbik,LGA25710,Metro,41,784,460,706.6703536,"2,212",65094,29.42766727,52,220,79.88447476,0.924,0.634,1.902462384,1.315659741,5.424727391
Northern Grampians,LGA25810,Regional,48,513,65,570.0754254,21,11402,542.952381,0,5,0,0.908,0.624,0,-0.886088042,23.30133861
Port Phillip,LGA25900,Metro,36,1087,2563,2217.108849,"1,326",115601,87.18024133,270,688,233.5619934,0.745,0.525,2.368402173,3.777392502,9.337036003
Pyrenees,LGA25990,Regional,50,472,21,281.0492505,3,7472,2490.666667,3,6,40.14989293,0.857,0.586,1.603684391,-1.219193796,49.90657939
Queenscliffe,LGA26080,Regional,60,671,11,374.1496599,334,2940,8.80239521,0,1,0,0.95,0.877,0,0.397587787,2.96688308
South Gippsland,LGA26170,Regional,47,537,121,404.4928796,"1,326",29914,22.55957768,11,27,36.77207996,0.882,0.592,1.565518196,-0.691099309,4.749692377
Southern Grampians,LGA26260,Regional,46,576,56,347.826087,"2,569",16100,6.267029973,0,2,0,0.927,0.648,0,-0.374242617,2.503403678
Stonnington,LGA26350,Metro,35,1042,3292,2795.326404,26,117768,4529.538462,139,459,118.0286665,0.775,0.553,2.071987501,3.411788626,67.3018459
Strathbogie,LGA26430,Regional,52,546,42,389.574251,"1,275",10781,8.455686275,0,2,0,0.907,0.619,0,-0.617978534,2.907866275
Surf Coast,LGA26490,Regional,42,722,101,301.8890483,600,33456,55.76,8,26,23.91200383,0.95,0.718,1.378615972,0.811938846,7.467261881
Swan Hill,LGA26610,Regional,40,580,623,3017.095259,"2,361",20649,8.745870394,0,6,0,0.95,0.58,0,-0.341744495,2.957341778
Towong,LGA26670,Regional,50,535,10,165.5629139,"2,577",6040,2.343810633,0,0,0,0.909,0.635,0,-0.70734837,1.530950892
Wangaratta,LGA26700,Regional,45,595,186,637.2700175,"1,407",29187,20.74413646,4,7,13.70473156,0.912,0.617,1.136870533,-0.219876536,4.554573137
Warrnambool,LGA26730,Regional,40,618,383,1088.655809,47,35181,748.5319149,21,35,59.69131065,0.942,0.653,1.775911115,-0.033012333,27.3593113
Wellington,LGA26810,Regional,43,562,226,509.2383957,"4,176",44380,10.62739464,3,23,6.759801712,0.85,0.6,0.829933957,-0.487986045,3.259968502
West Wimmera,LGA26890,Regional,48,555,10,260.3488675,"3,517",3841,1.092123969,0,1,0,0.877,0.623,0,-0.544857759,1.045047353
